symbol,horizon,rows,hit_rate_%,mae_%,rmse_%,mean_pred_%,mean_real_%,pearson_r,wilson_low,wilson_high,stability_qtr_std,start_date,end_date
JOCIL,3d,330,63.525835866261396,2.7105318469739137,3.7912614894998162,0.5090200194652944,0.012797499046936684,0.42834483545438856,0.581960028180026,0.68543443212782,1.0241875531778868,2021-12-27,2025-12-17
JPOLYINVST,3d,330,58.78787878787879,4.179209658121883,5.8013839694376195,0.5012326565487881,0.5977384205795224,0.38692236619676584,0.5340568523224737,0.6396782364142207,0.8140214691485038,2021-12-27,2025-12-17
JPPOWER,3d,330,62.25806451612903,3.8438883224757125,5.440029317365925,0.5286839002019611,0.5089695314791486,0.4423861835247475,0.5674288431069112,0.6747315333377666,3.024997901994321,2021-12-27,2025-12-17
JSFB,3d,154,64.28571428571429,3.2215948702660593,4.937433466216101,-0.02592511422716005,0.20563045560989104,0.2561390576293078,0.5645472963801006,0.7142131824797184,1.351948066460937,2024-02-14,2025-12-19
JSL,3d,330,56.06060606060606,3.223601140860108,4.114786444640023,0.6004365302980693,0.51998980892418,0.26331560877919835,0.5066636272650037,0.6131536753120267,1.3261747692373755,2021-12-27,2025-12-17
JSLL,3d,301,67.11409395973155,4.190891514595124,6.440217334963266,0.4566552447335007,1.435990897334814,0.4769271951526555,0.6159177590445809,0.7220078284158621,1.4396057801813693,2022-04-19,2025-12-19
JSWCEMENT,3d,29,65.51724137931035,2.416272412198104,3.2251979503938113,-0.0713011595644512,-0.6632154535942086,0.39208155572917297,0.47344776507155983,0.8005949125080951,0.31528204352126993,2025-08-14,2025-12-17
JSWENERGY,3d,330,55.15151515151515,3.4626207710615247,4.628608303170732,0.3216802075579218,0.24634989555201575,0.2919022703364099,0.4975685648864111,0.6042761423040649,1.0956862546338284,2021-12-27,2025-12-17
JSWHL,3d,330,58.78787878787879,3.530093203483328,5.651034760868968,0.1226248368981925,0.6532169220858093,0.2270128557587875,0.5340568523224737,0.6396782364142207,1.431789721105865,2021-12-27,2025-12-17
JSWINFRA,3d,184,63.58695652173913,2.895522781101721,3.869828326071554,0.250586023140256,0.40554847083883155,0.4944481388979043,0.5642214313962284,0.701960287669197,0.8258666144022718,2023-10-03,2025-12-17
JSWSTEEL,3d,330,58.484848484848484,2.1218623194076414,2.811360442934876,0.4761314332663566,0.19783882497774205,0.25283242854806803,0.5310050808137236,0.6367391427941193,0.6246742394962344,2021-12-27,2025-12-17
JTEKTINDIA,3d,330,60.303030303030305,3.2098942655410636,4.317434815675575,0.5609616116966221,0.2661894166082432,0.4213596153764794,0.5493464522316579,0.6543429621492941,1.0308455447071272,2021-12-27,2025-12-17
JTLIND,3d,330,67.27272727272727,3.271307060637984,4.467313839070069,0.45472035947344824,0.15614251997089554,0.48753159466633467,0.6203665634771522,0.7211127488673847,0.7563148208141702,2021-12-27,2025-12-17
JUBLCPL,3d,70,47.142857142857146,4.827309595008114,6.007259615829256,0.612652715044882,0.7973492958760725,0.19339872765121097,0.35904683190771935,0.5867831609418397,1.8131890917399778,2025-02-14,2025-12-18
JUBLFOOD,3d,330,58.66261398176292,2.3749620958536934,3.120683376647086,0.2243384709893963,-0.013761980490099107,0.2460843942364088,0.5327127506626838,0.6385398812198694,0.7985111187006804,2021-12-27,2025-12-17
JUBLINGREA,3d,330,60.790273556231,3.1900432552829283,4.145178432917193,0.21422381105327443,0.18646198627999333,0.3129555888423367,0.5541918651796223,0.6591228166389964,1.8143483292797762,2021-12-27,2025-12-17
JUBLPHARMA,3d,330,58.78787878787879,3.0937530208860404,4.150059026131823,0.3999725746768152,0.2937900653942365,0.3759476833036345,0.5340568523224737,0.6396782364142207,1.094605811851397,2021-12-27,2025-12-17
JUNIORBEES,3d,330,57.27272727272727,1.5269635753313058,1.9783890386324758,0.3460440385004552,0.17569144105244527,0.13349723022895327,0.5188182701452589,0.6249624929471777,0.5418295532010038,2021-12-27,2025-12-17
JUNIPER,3d,150,61.333333333333336,3.30862236238623,4.280775038053612,0.13228227004666812,-0.18394384936493,0.37854556912161663,0.5334964294452139,0.6875101123484232,1.5896695341926608,2024-02-28,2025-12-17
